USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root         2  0.0  0.0      0     0 ?        S    Apr04   0:00 [kthreadd]
root         3  0.0  0.0      0     0 ?        S    Apr04   0:00  \_ [ksoftirqd/0]
root         5  0.0  0.0      0     0 ?        S<   Apr04   0:00  \_ [kworker/0:0H]
root         7  0.1  0.0      0     0 ?        S    Apr04   1:21  \_ [rcu_sched]
root         8  0.0  0.0      0     0 ?        S    Apr04   0:00  \_ [rcu_bh]
root         9  0.0  0.0      0     0 ?        S    Apr04   0:31  \_ [rcuos/0]
root        10  0.0  0.0      0     0 ?        S    Apr04   0:00  \_ [rcuob/0]
root        11  0.0  0.0      0     0 ?        S    Apr04   0:00  \_ [migration/0]
root        14  0.0  0.0      0     0 ?        S    Apr04   0:00  \_ [migration/1]
root        15  0.0  0.0      0     0 ?        S    Apr04   0:00  \_ [ksoftirqd/1]
root        17  0.0  0.0      0     0 ?        S<   Apr04   0:00  \_ [kworker/1:0H]
root        18  0.0  0.0      0     0 ?        S    Apr04   0:18  \_ [rcuos/1]
root        19  0.0  0.0      0     0 ?        S    Apr04   0:00  \_ [rcuob/1]
root        21  0.0  0.0      0     0 ?        S    Apr04   0:00  \_ [migration/2]
root        22  0.0  0.0      0     0 ?        S    Apr04   0:00  \_ [ksoftirqd/2]
root        24  0.0  0.0      0     0 ?        S<   Apr04   0:00  \_ [kworker/2:0H]
root        25  0.0  0.0      0     0 ?        S    Apr04   0:30  \_ [rcuos/2]
root        26  0.0  0.0      0     0 ?        S    Apr04   0:00  \_ [rcuob/2]
root        28  0.0  0.0      0     0 ?        S    Apr04   0:00  \_ [migration/3]
root        29  0.0  0.0      0     0 ?        S    Apr04   0:00  \_ [ksoftirqd/3]
root        31  0.0  0.0      0     0 ?        S<   Apr04   0:00  \_ [kworker/3:0H]
root        32  0.0  0.0      0     0 ?        S    Apr04   0:17  \_ [rcuos/3]
root        33  0.0  0.0      0     0 ?        S    Apr04   0:00  \_ [rcuob/3]
root        34  0.0  0.0      0     0 ?        S<   Apr04   0:00  \_ [khelper]
root        35  0.0  0.0      0     0 ?        S    Apr04   0:00  \_ [kdevtmpfs]
root        36  0.0  0.0      0     0 ?        S<   Apr04   0:00  \_ [netns]
root        37  0.0  0.0      0     0 ?        S<   Apr04   0:00  \_ [perf]
root        38  0.0  0.0      0     0 ?        S    Apr04   0:00  \_ [khungtaskd]
root        39  0.0  0.0      0     0 ?        S<   Apr04   0:00  \_ [writeback]
root        40  0.0  0.0      0     0 ?        SN   Apr04   0:00  \_ [ksmd]
root        41  0.0  0.0      0     0 ?        SN   Apr04   0:02  \_ [khugepaged]
root        42  0.0  0.0      0     0 ?        S<   Apr04   0:00  \_ [crypto]
root        43  0.0  0.0      0     0 ?        S<   Apr04   0:00  \_ [kintegrityd]
root        44  0.0  0.0      0     0 ?        S<   Apr04   0:00  \_ [bioset]
root        45  0.0  0.0      0     0 ?        S<   Apr04   0:00  \_ [kblockd]
root        46  0.0  0.0      0     0 ?        S<   Apr04   0:00  \_ [ata_sff]
root        47  0.0  0.0      0     0 ?        S<   Apr04   0:00  \_ [md]
root        48  0.0  0.0      0     0 ?        S<   Apr04   0:00  \_ [devfreq_wq]
root        52  0.0  0.0      0     0 ?        S    Apr04   0:03  \_ [kswapd0]
root        53  0.0  0.0      0     0 ?        S<   Apr04   0:00  \_ [vmstat]
root        54  0.0  0.0      0     0 ?        S    Apr04   0:00  \_ [fsnotify_mark]
root        55  0.0  0.0      0     0 ?        S    Apr04   0:00  \_ [ecryptfs-kthrea]
root        67  0.0  0.0      0     0 ?        S<   Apr04   0:00  \_ [kthrotld]
root        68  0.0  0.0      0     0 ?        S<   Apr04   0:00  \_ [acpi_thermal_pm]
root        75  0.0  0.0      0     0 ?        S<   Apr04   0:00  \_ [ipv6_addrconf]
root        94  0.0  0.0      0     0 ?        S<   Apr04   0:00  \_ [deferwq]
root        95  0.0  0.0      0     0 ?        S<   Apr04   0:00  \_ [charger_manager]
root       151  0.0  0.0      0     0 ?        S<   Apr04   0:00  \_ [kpsmoused]
